"Tweet","Continent"
"huffingtonpost this quick trick can vastly improve the iphones fingerprint scanner httptcomsa70rtseh this helped me out iphone5s","NorthAmerica"
"chuckcollins11 who wants an iphone 5s what company and how much","NorthAmerica"
"the next big thing im buying for me is the new iphone 5s","NorthAmerica"
"my iphone 5s is having seimag","NorthAmerica"
"my iphone 5s is having seizures i dont like it help","NorthAmerica"
"hi vanilla busy lang busymode iphone5s text summerloverz12 college of the north atlantic qatar httptcozr7qdiuerl","Asia"
"however love the touch sensor on the iphone 5s lawd thank ya","NorthAmerica"
"dude just get me a new iphone5s and spend the hole day with us overcomher thats it ","NorthAmerica"
"whats the difference between the iphone 5s 5c","NorthAmerica"
"got fiancee new iphone 5s holy shit thats small especially next to my note 3","NorthAmerica"
"so its decided in my head that i want the iphone 5s of coz it has to be the gold one birthdaychristmas pressie to self","Africa"
"should i upgrade to the iphone 5s or wait until the iphone 6 comes out ","NorthAmerica"
"todays new arrivl knuckle case silver moonshine white iphone5 iphone5s black11 httptcoi8z9h5gbew","Asia"
"sucks that iphone5s wont recognize fingerprints if its cold outside i hate doing the password if i paid to not do it anymore","NorthAmerica"
"captainsamlee thats what i was thinking iphone 5s kinda like a glorified iphone 5","NorthAmerica"
"available now at gadget parknew iphone 5s gray w fransisca 7 others at gadget park pic httpstcojkrt7dxjqm","Australia"
"markjhiggins just get the iphone 5s and hold it a bit closer to your face","Europe"
"markjhiggins but its the thinnest lightest coolest fastest most imagineered iphone ever made httptcognbvq2v1ig","Europe"
"west mall centre sfu university vancouver stairs blackandwhite iphone5s onlyiphone west mall httptcoheluwizdc7","NorthAmerica"
"ios 701 fucking my iphone 5s up and now my dad thinks i fucking it up somehow","NorthAmerica"
"according to mtn my iphone5s will be here either tomorrow or on wednesday next week i cant wait","Africa"
"my mom bought my bro the new iphone 5s and get what i got yup nothing hatedchild","NorthAmerica"
"iphone 5s rm2700 my father promised me to get me one if i get straight as but now he told me tunggu harga jatuh sikit 2500 ke damn","Asia"
"guess whos getting the iphone 5s ","NorthAmerica"
"tystaytweeting would anyone like to buy me an iphone 5c case if you buy me a 5s case","NorthAmerica"
"guess this means its only meant to be that i invest in a iphone 5s ","NorthAmerica"
"shawn is suppose to be mixing my tracksso why is this fool is looking at the new iphone 5s workin fc httptcoaggzyyqdjl","NorthAmerica"
"all i can think of lately is the iphone 5s ","Africa"
"my iphone 5s needs to come here now ughhh 4 days","NorthAmerica"
"im tired i just want my beautiful iphone 5s","NorthAmerica"
"iphone 5s you keep me from sleep so legit","NorthAmerica"
"mitchelhemmings just call them and ask for a micro sim or nano sim if its an iphone 55c5s","Europe"
"i needa upgrade this iphone 4 to a 5s brokebitchprobs","NorthAmerica"
"finding an iphone 5s ","Europe"
"finally got my iphone 5s in the mail only took forever inlove","NorthAmerica"
"fuckibig all i want for christmas is you joke iphone 5s gusto ko landi mo","Asia"
"aich eliasmashego orders now reigncoco notedlorendzo anyways if u like pictures get an iphone 55s not a samsung","Africa"
"i got the gold iphone 5s cause im faaabuloussss","NorthAmerica"
"happiest person alive right nowpackage iphone5s","Europe"
"i love lornadaisleyy more than i love my iphone5s ","Europe"
"iphone 5s 100 tesla model s charged 483km if id slept a little better everything would have been fully charged httptcoacn4js0gi2","Europe"
"aaand its here iphone 5s champagne apple monow imed software solutions httptcohkdjzgii0o","Asia"
"iphone 5s is love ","NULL"
"new iphone 5s being delivered today boomting","Europe"
"for sale brand new still in box white and gold iphone 5s 16g on ee httptcodhb1kde5zh","Europe"
"iphone 5s virgin shot as are over sort of took me awhile to get this shot was thinking whether httptcoe7wfeamix2","NULL"
"erfarahani hahaaaa takk workhard sngat laa if i get iphone 5s free i will give 4s to you hahaa ","NULL"
"whats a good site to order iphone 5s cases from","Africa"
"the iphone 5c is making me hungry love the weight of the device and its arguably more comfortable to hold than the iphone 5s","Asia"
"applenws rt iphoneinformers logitech powershell controller battery arrives for iphone 5s httptcod9g3vbcixu could be fun","Australia"
" welcome to my world iphone 5s dubai international airport dxb httptcopdvmtufvxe","Asia"
"thank you mum omg i cant believe this thank you for this iphone 5s gold httptco8iiypxuaqc","NULL"
"iphone5s apple russia perm like life nice swag mobile like gold swagger swagga follow httptcov3vopijvmf","Asia"
"loving my new iphone5s but wish vodafoneuk would get on and activate the sim use immediately my a","Europe"
"cancel iphone 5s order and save 430 and buy a 200 brand iphone 5 haha hmm","Europe"
"is everyone out of the iphone5s in dubai cant find the 32gb anywhere","Asia"
"ios704 iphone 5s crash every few mins","Asia"
"taken an edit by iphone 5s qayrawan area httptcoo01rhq8jwk","Asia"
"white iphone 5s want it 64 gb model httptco0aomo24qpi","NULL"
"my iphone 5s is driving me mad its on a rollercoasterride changes opens apps at random on the second is this a virus or a setting","Africa"
"fingerprint security of iphone5s is cool and amazing","Asia"
"my oh my after 2 days of playing with the iphone5s im in love i gotta get one","Africa"
"im inlove with iphone 5s","Asia"
"a triple mocha dark chocolate ugg boot berry white iphone 5s caramel infinity sign frappe please whitegirl alexxbolhous connorredmond4","NorthAmerica"
"good morning sunrise clouds cloudporn tooearly beautiful roctopshots iphone5s backyard of httptcoridcpbhkji","NorthAmerica"
"nine inch nails rocker trent reznor pulls out iphone 5s on stage to facetime with dying friend httptcogyj8eipq2n howardstern","NorthAmerica"
"iphone 5s running ios 704totally fucking broken in fact ill be amazed if this tweet gets pu","Europe"
"iphone 5s tonight ","Europe"
"giffgaff hi do you do the nano sims for the iphone 5s if so how can i order one thanks","Europe"
"apple shop in towns a joke so much messing about for a iphone 5s on pay as you go ffs","Europe"
"isaudiairlines hhahahaha who said that i do love u now where is my i phone 5s ","Asia"
"i have to do it newphone iphone5s httptco7ax36ob5g7","Europe"
"its raining outside arent they laag offtowork perksofaphotographer iphone5s dubai mall httptcobber85wtac","Asia"
"newiphone7 i want the power of the iphone 5 or 5s with the colour green of the 5c","NorthAmerica"
"looking for the new iphone 5s or the newest android device the nexus 5 come on out to target mobile and see me httptcoz7fjzv1ffz","NorthAmerica"
"iphone 5s is becoming a common sight","Australia"
"benjamingdsn thats nice but have you received an email regarding free iphone 5s from our phone provider","Europe"
"unedited iphone 5s photo atlantic ocean httptcob0nnotigpg","NorthAmerica"
"now using an iphone 5s its too beautiful","Europe"
" i really want an iphone 5s","NorthAmerica"
"i could have got another iphone 5s for free today after the lady at the vodafoneuk store failed to set it up good thing im honest","Europe"
"im trying to er my iphone 5s right now right now","NorthAmerica"
"im trying to get my iphone 5s right now right now right now","NorthAmerica"
"yasiira1d she will hey hey guess who got her iphone 5s woohoo but i couldnt get the gold one so i got it in silver","NorthAmerica"
"the finger print scanning thing on the iphone 5s is fucking shit","Europe"
"i havent even had the iphone 5s for two weeks and ive already lost the charger typical","NorthAmerica"
"ahhh iphone 5s or xbox one ahhhhh","NorthAmerica"
"getting this new iphone 5s case aint nobody in the ville touching","NorthAmerica"
"1 thing idk if i like about the iphone 5s the damn headphone jack is at the bottom idk if i like that ","NorthAmerica"
"also would like everyone to know that i got a new iphone 5s for free ","NorthAmerica"
"jackgyarwood could be like omg is that the new iphone 5s with ios 7 me too naahhhhh","Europe"
"my iphone is so messed up cant wait to get the 5s for christmas thank god","NorthAmerica"
"with all the ipads and the ipod touch in line with their unified hardware designs the iphone 5s hardware design seems almostoutdated","NorthAmerica"
"upgrading phone iphone5s","SouthAmerica"
"i just got my iphone 5s","Europe"
"at a benaulim beach this evening hdr image from my iphone 5s the camera is pretty impressive httptcoyhsq0pmm9g","Asia"
"what a waste of timert moswear niggas chasing iphone 5s","Africa"
"disappointed that the iphone 5s camera has no selftimer feature even my nokia n8 had it very useful for taking pictures with me in them","Asia"
"coleykleanthous swear the last one i seen included gold iphone5s fiat 500mini thats a good couple of grand there ","Europe"
"tmobilehelp i was using the service in an iphone 5s two weeks ago yep","NorthAmerica"
"i want an iphone 5s so bad","NorthAmerica"
"yellastackss fuck this i want my iphone back i want a 5s","NorthAmerica"
"should i get the gold and white iphone 5s or the sliver and white","NorthAmerica"
"special fries french fries belgian fries waffle fries at hobs away by the iphone 5s recommended httptco8qb2hkdjlh","Asia"
"iphone 5s is here","Europe"
"i need me a iphone 5s ","NorthAmerica"
"quizclothing our iphone gold 5s competition closes on the 1st december just follow and rt this tweet for a chance to win the phone","Europe"
"dante loves me so much hes getting me an iphone 5s ","NorthAmerica"
"whichever has better filters on insta rt huiyanyoyo helpppp note 3 or iphone5s","NULL"
"team iphone 5s legitassphone finally","NorthAmerica"
"jamesfout35 yeah are u wanting to do a upgrade to get a iphone 5swe just cant give u cash for it like it has to go towards another phone","NorthAmerica"
"wish i had to iphone 5s httptcoeyhwly3kil","Europe"
"i want the iphone 5s in gold i need it ","NorthAmerica"
"the iphone 5s ","NorthAmerica"
"wish i had the iphone 5s httptcobzzcuzg51f","Europe"
"im again with u happy me with new iphone 5s mounth without instagram strong me httptcoi3adka1h7z","Asia"
"this is the first time i see a person with the iphone 5c looks great but i still wouldnt buy it would save up for the iphone 5s","NorthAmerica"
"i want the iphone 5s d","NorthAmerica"
"im on iphone 5s bitches me jel ","Europe"
"on iphone 5s be jel bitches","Europe"
"i love my new iphone 5s so fast","Europe"
"livs new iphone 5s httptcoj9uhm0gdhu","NorthAmerica"
"so threeuk send me a text about a special deal to upgrade my phone to an iphone 5s for 350 yeah no thanks","Europe"
"iphone 5s is besteld ","Europe"
"xkaylaa i dont want the 5s once you scratch your home button you out your phone forever no","NorthAmerica"
"i should have gotten the iphone 5s instead of this ","NorthAmerica"
"he wants to buy me iphone 5s","NULL"
"anyone interested in a sprint iphone 5s space grey 64gb","NorthAmerica"
"my 5s comes in today bye bye iphone 5","NorthAmerica"
"i have bandaids on my thumbs so i cant use those fingerprints to unlock my iphone 5s firstworldproblems","NorthAmerica"
"so today i tested the iphone 5s slomo video turns out great the merlion httptcozlbepaltk9","NULL"
"who has a black iphone5 or a black iphone5s verizon that wants to trade to a white iphone5 verizon will throw in boot","NorthAmerica"
"i need to get the 5s i feel like my phone is hella out dated","NorthAmerica"
"i want the iphone 5s gold so bad","NorthAmerica"
"cant believe i just gave kevin 100 to get an iphone 5s on contract and heres me with an iphone 4 meh damn you christmas","Europe"
"i cant wait till i get the iphone 5s only have to wait till january","NorthAmerica"
"im pretty excited about these larger screen iphone rumors glad i held out on getting the 5s this year","NorthAmerica"
"littlesashadoe miriamdoooe i should have gotten the iphone 5s instead of this teamiphonefuck your fake iphone friend","NorthAmerica"
"so i got the iphone 5s believe or not and i must say its awesome better than my iphone 4s","NorthAmerica"
"ive got the phone 5s and it shows like this httptcoo1pfecfbju","Europe"
"what i just barely bought a 5s iphoneteam apple is now testing a 49inch iphone 6 and a iphone 5c successor","NorthAmerica"
"who wants an iphone 5s life proof included","NorthAmerica"
"what else can iphone 5s do apart from finger print scan shit","Europe"
"gaadi participate now in our blogyourdrive contest with your car story httptcoe04pdvelgz win an apple iphone 5s","Asia"
"iphone 5s apple store west 14th street w 2 others httptcokehxuhr43h","NorthAmerica"
"new twitter lay out is much better and seem to have fixed all glitches since os7 and iphone 5s launch","Europe"
"buyin my moms a new phone for christmas but i wanna get her something different maybe an ipad or a 5s idk man","NorthAmerica"
"buy for me iphone 5s httptcoelictcvipv","Asia"
"i want an iphone 5s","NorthAmerica"
"having owned every iphone i must say im not very impressed by the 5s touchid barely works siri takes 3x longer maps are the worst yet","NorthAmerica"
"wow awesome iphone 5s httptcolyddsbgc4i","NorthAmerica"
"just bought a new phone contract with a whitegold iphone 5s eek cannot wait to pick it up merryxmastome","Europe"
"my dad got me the iphone 5s ","Europe"
"major bug in ios7 iphone5s bluescreen appears and phone restarts were unlikely for an iphone apple modmyi bug","Asia"
"i got the iphone 5s theme for the galaxy s4 sick","NorthAmerica"
"dad came home with a free iphone 5s lucky shit","Europe"
"having a family discussion about who gets the iphone 5s","Europe"
"maxkramer no idea headphone jack on the iphone5s isnt great","Europe"
"iphone 5s making ugly people attractive since november 1 2013","NorthAmerica"
"mom already dropped and cracked her iphone 5s thingsthatpissmeoff","NorthAmerica"
"right so ive to choose between an iphone 4s 5s or 5c someone help me","Europe"
"ordered an iphone 5s cant wait for it to get delivered ","Europe"
"its a thing of beauty inlove iphone5s gold httptcozl5anhujwt","Europe"
"just got a sick phone case iphone5s lifeproof","NorthAmerica"
"just got the rawest phone case iphone5s lifeproof","NorthAmerica"
"an iphone 5s would be pleasant","NorthAmerica"
"iphone 5s or galaxy s4 and a free tab 3 tablet confusedwhatoget","NorthAmerica"
"i love this new ios7 iphone 5s enhanced twitter version its super sexy to the curb shite","Africa"
"iphone 5s in gold 3 home httptcozvl39afgid","Europe"
"iphone 5s for christmas please ","Europe"
"first tweet from the iphone 5s is dedicated to harrystyles cos why not","Europe"
"i love my iphone 5s ","NorthAmerica"
"ohh hy iphone5s httptcolo0uookixf","Europe"
"soooooo my iphone 5s does slow mo video expect to see a slow motion poo video coming on her soon slowmopoo","Europe"
"might get an iphone 5s for christmas yeee","NorthAmerica"
"im not saying that my new iphone 5s isnt nifty but i cant get over the white front on it its just not natural","Europe"
"which iphone should i get 5s or 5c","NorthAmerica"
"ijustine what do you think is in here httptcowi9tw8jyaw gold iphone 5s","NorthAmerica"
"i love my new phone iphone5s ","Europe"
"getting an iphone 5s paying off my holiday getting paid and booking in my next tattoo ","Europe"
"the damn mail is taking forever to come i want my iphone 5s in my hands like right now","NorthAmerica"
"ever since the 5c the 5s came out everybody got a iphone ","NorthAmerica"
"iphone5s shopping apple store fifth avenue w nicoledibbets pic httptcota6yx3faeo","NorthAmerica"
"marina waves timelapse camera iphone 5s south surra httptcofc2vssf0q4","Asia"
"yeah i went there a gold iphone 5s as a test device dontjudgeme iosdev peets coffee tea httptcophodipn4ly","NorthAmerica"
"btw touch id on the iphone 5s is amazing","NorthAmerica"
"i want the iphone 5s soooo bad ","NorthAmerica"
"roofs in rome taken with iphone 5s edited with filtermaniafilterstorm neuesnapseed apps tag httptcoipp925dc0v","Europe"
"ive grown to love the gold iphone 5s","NorthAmerica"
"mum got an iphone 5s today she can suck her mum the bitch","Europe"
"clouds are painting the sky today nyc realtime iphone5s west side rail yards lirr httptcogtrcotckqn","NorthAmerica"
"my hands are to small for the iphone 5s annoying","Europe"
"i am getting the play by play on the iphone 5s by kimskey","NorthAmerica"
"yar pirates panomovie iphone5s pirates cove httptcoblm1w2mnk6","NorthAmerica"
"i hate my phone gonna go buy a 5s brb","NorthAmerica"
"on that iphone5s grind c ","NorthAmerica"
"spunkinator1337 coachdrivertim i have the iphone 5sposh ","Europe"
"proletariat think you need a iphone 5s samsungstink","NorthAmerica"
"is it excessive if i have an ipod nano 2 ipod touches an ipad an iphone 4s and i buy the iphone 5s ","NorthAmerica"
"new phone iphone5s yummy its sooo nice","Europe"
"my iphone5s is not charging connection problem iphoneproblems","Europe"
"does anybody know how to jailbreak an iphone 5s","NorthAmerica"
"bossluxuryceo 24kt gold iphone 5s anyone ready to be shipped to the usa httptcoxaz4lxbbna httptcobmsjokzpsk tobytaggy","Europe"
"15tristan you got the iphone 5s","NorthAmerica"
"just bought the new iphone 5s and its exactly the same as my iphone 4s ","Europe"
"what colour iphone 5s should i get","Europe"
"tweet tweet from my new iphone 5s gold duh ","NorthAmerica"
"tbhtechnology gold iphone5s httptcoizgkbsnt15 want ","NorthAmerica"
"new iphone 5s for me oro finalmente apple forever instagram instamoment love my cell httptcog1qp63g6si","Europe"
"all i want for christmaslife is the iphone5s","Europe"
"is the iphone 5s or 5c better though ","NorthAmerica"
"we about to imessage and facetime so much now that she got her phone im salty she getting the 5s though","NorthAmerica"
"why would spend all your money just to get a iphone 5s","NorthAmerica"
"iphoneteam for 5000 one company will now plate your iphone 5s in actual 24 karat gold httptcoyat6at3wlx stanmonn","Europe"
"just discovered that camera flash and af of the new iphone 5s are amazing in the dark impressive","Europe"
"cuntrols christmas wish listtaco bell or starbucks gift cardiphone 5slots of drugsyour virginityxbox one ","NorthAmerica"
"i shoulda kept that iphone 5s gold looked sexy oh well should get it within the next month","Europe"
"ordered the iphone 5s ","NorthAmerica"
"sad face hate when i got to leave t mobile smh iphone5s","NorthAmerica"
"powermaccenter what is model of iphone5s","Asia"
"yayyy iphone5s for christmas ","NorthAmerica"
"iphone 5s at claroblog httptcoieodd1kpfy","SouthAmerica"
"new iphone 5s added to apple familysisters earlyy thanksgiving giftiphone5s gold24kt lol httptconftxnsjp8h","NorthAmerica"
"imma get the iphone 5s soon","NorthAmerica"
"arielsimmonsg man i hate how the stores have iphone44s cases everywhere but none for the iphone 55s","NorthAmerica"
"coleleoburge from what ive heard the iphone 5s is actually decent on batery life","NorthAmerica"
"a little piece of me is regretting the black iphone 5s ","NorthAmerica"
"sorry iphone5s im all note3 now","NorthAmerica"
"need someone to buy my iphone 5s","NorthAmerica"
"just bought my iphone 5s should be here next week ","NorthAmerica"
"i cant wait to get iphone 5s im sick of this cracked screen","NorthAmerica"
"there was this phase when everyone was getting an s3 this time everyone i know is getting the iphone 5c5s","Asia"
"vivalacaitybaby should i get the iphone 5s yes its perfect","NorthAmerica"
"daynasgotswag did you get your iphone5s","NorthAmerica"
"to get an iphone 5s or an iphone 5c i think i choose to get a blue iphone 5c ","NorthAmerica"
"joaaner lololl really okok ill just get a iphone 5s hhaha","NorthAmerica"
"hell yeah team gold iphone 5s bitchessss","NorthAmerica"
"iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig igaddict httptcodwfeshhsmz","NorthAmerica"
"getting a iphone 5s soon ","NorthAmerica"
"putting no excuses 007 on the iphone 5s","NorthAmerica"
"you looked iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig httptcoiybm2snei8","NorthAmerica"
"iphone 5s but its not mine iphone5s apple macintosh tram stop 14 glenelg east httptcoijsktzucdl","Australia"
"tgif happy friday everyone tgif happyfriday oldskull loafer photo by iphone5s maersk line httptcogsvhkjd0ue","Asia"
"charlottehyde2 just referred to our phones black and white iphone 5s as interracial twins whatisherlife","Europe"
"finally got the iphone 5s","NorthAmerica"
"tbt iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig igaddict httptcocepfeygbf9","NorthAmerica"
"djeone iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig httptcooyksoftkb3","NorthAmerica"
"jrich22 get one the blue is actually an ipod i was just messing around haha i have the iphone 5s","NorthAmerica"
"moehasanin gold iphone 5s or black yo gold","NorthAmerica"
"laraowens not worth the upgrade from nokia 3210 to the iphone 5s bo","Europe"
"i want to get the iphone 5s so bad","NorthAmerica"
"to sell my iphone 5 and buy the 5s or not decisionsdecisions ","NorthAmerica"
"to get the iphone 5s tomorrow or not to get it hmm","NorthAmerica"
"tryna decide is it worth it buying the iphone 5s","NorthAmerica"
"iphone 5s this week maybee","NorthAmerica"
"i need the iphone 5s asap ","NorthAmerica"
" going go by him a iphone5s","NorthAmerica"
"uscellular iphone 5s is now available from us cellular httptcoval8rsipiw i dont feel like waiting all day in the store joke","NorthAmerica"
"does anyone happen to have a spare chord for the iphone 55sipad 4 that i could borrow","NorthAmerica"
"ready gadgetparkiphone5s 16 gold 13950000iphone5s 16 w fransisca 7 others at gadget park httpstco3w1naw9fxg","Australia"
"getting the iphone5s ","NorthAmerica"
"mr cassie kept bragging about his iphone 5s today and im just so jealous","NorthAmerica"
"everyone is just getting their iphone 5s in gold and im like i been had the shit ","NorthAmerica"
"iphone 5s with cover ted baker and 3 in 1 lens satu hahahahaha plissss lah plisss lah","NULL"
"jiameis its time for iphone 5s","NULL"
"the iphone 5s camera is amazing i love it","NorthAmerica"
"today i dropped my 5sat walmart same place i shattered my iphone 4 and it didnt break sohappy","NorthAmerica"
"guess who is rocking the faze background for his iphone 5sfazeup httptcohr8ymig9ng","NorthAmerica"
"can someone at applenws tell me how long it takes to make a new iphone 5s in gold i have been waiting on att since sept 27th","NorthAmerica"
"my dad literally just handed me the iphone 5s and said because im proud of you umok thanksdaddyo luvu ","NorthAmerica"
"should i get the iphone 5 5s or 5c ","NorthAmerica"
"finally got my phone i guess 5s will have to wait","NorthAmerica"
"kevinstape i dont know why but i did iphone5s httptcojj0fgwdoba damn hoe ass teamandroid","NorthAmerica"
"i just want a macbook pro full sized ipad and an iphone 5s and a desktop mac for christmas too much to ask for yeahhhh probably so ","NorthAmerica"
"ya boy 2lanez tweeting live from his new iphone 5s ","NorthAmerica"
"the most dramatic kettlebell swings ever haha performed by kflandes edited by me via iphone5s httptco9abuosdooq","Asia"
"this is one of the best presents ever i love this phone so much 16 iphone5s","NorthAmerica"
"i regret getting the iphone 5s soooo bad i want the galaxy note3","NorthAmerica"
"i want iphone 5s","Asia"
"my brother broke a brito sculpture we had at home so no new iphone5s for him lol","NorthAmerica"
"selling my note 2 to get the gold iphone 5s ","NorthAmerica"
"this iphone 5s is ridiculous lovin it","NorthAmerica"
"palmsolo man you causing me some major phone envylust right now just keep telling myself iphone 5s is enough iphone 5s is enough ","NorthAmerica"
"cocoy im on 5s level 2 already restart the phone rom","Asia"
"cant wait to have the sweet feel of an iphone 5s in my hands","NorthAmerica"
"quizclothing win this fabulous iphone gold 5s from quiz just follow us and rt this tweet for a chance to win httptcortxmsydzsb","Europe"
"iphone 5s out shit a nigga still got a damn 4 smh damn not even 4s plan old 4 damn","NorthAmerica"
"that iphone 5s of hers her in general ","NorthAmerica"
"just got this iphone 5s","NorthAmerica"
"only 39 contacts in my 5s compared to my iphone 5 that had 164 ","NorthAmerica"
"scienceporn the human eye has around 576 megapixels compared to the iphone 5s that has only an 8 megapixel camera woah ","NorthAmerica"
"great day got my iphone 5s traded my 4s for dre beats got compliments on my weightloss by like 5 different people id say productive day ","NorthAmerica"
"iphone 5s rt mavula31 what phone are you using realtalkfriday","Africa"
"apathydgz my friend dad is big in the illuminati and says im gonna get framed for murder since i get the iphone 5s lmao","NorthAmerica"
"the human eye has around 576 megapixels compared to the iphone 5s that has only an 8 megapixel camera ff scienceporn","Europe"
"love my new winter case snowflake cute sparkly iphone5s httptcohdfwgcmon9","Europe"
"china mobile expected to launch 4g service with iphone 5s5c on december 18 httptcoambtqtzkoj","NorthAmerica"
"jayydreams ayedee143 iphone5s lol ohhh you badddd lol","NorthAmerica"
"twitter new update iphone5s","Asia"
