"","Score","Tweet","Continent"
"47",2,"iphone 5s is going to be delivered tomorrow and im going to go see tonightalive tomorrow is going to be an awesome day tonightalive","NorthAmerica"
"48",1,"i wanna get rid of my iphone 5s","NorthAmerica"
"49",0,"anybody tryna sell a galaxy s4 or iphone 5s","NorthAmerica"
"50",-2,"im really thinking about buying him and iphone5 iphone5c or and iphone5s just so i can keep him away from android apple iphone5","NorthAmerica"
"51",0,"im thinking i need a new phone possibly the iphone 5s iphoneproblems","NorthAmerica"
"52",4,"wanna sell my iphone 5 so i can get the 5s no cracks or nothing the lock button just works when it wants to who wants to buy it","NorthAmerica"
"53",0,"mrteamjl i wan iphone 5s iphone 5c better","Asia"
"54",1,"me and u both rtyouaintabarbie i want the gold iphone 5s ","NorthAmerica"
"55",2,"ready for my white iphone 5s ","NorthAmerica"
"56",-1,"economictimes iphone 5s out of stock in india as supplies head west httptcokatdzwbpsy den y prices are going down online ","Asia"
"57",-1,"pololikeralf what 5s are releasing this weekend lol im talking about the iphone 5s nigga","NorthAmerica"
"58",2,"cant wait till i get my new phone iphone 5s gold yes ","NorthAmerica"
"59",1,"the iphone 5s has really good battery life","NorthAmerica"
"60",0,"white girls be likeill have one triple mocha dark chocolate ugg boot raspberry white iphone 5s double caramel infinity sign frappe please","NorthAmerica"
"61",0,"this gold iphone 5s though ","NorthAmerica"
"62",1,"cannot wait any long to get this iphone 5s im in neeeeeed of a new phone","NorthAmerica"
"63",1,"sometimes i think bri loves her iphone 5s more than me","NorthAmerica"
"64",0,"put 2 iphone 5s together the long way now u kno the length of his dick","NorthAmerica"
"65",0,"loving iphone 5s","SouthAmerica"
"66",1,"so is the iphone 5s really that nice","NorthAmerica"
"67",1,"seriously contemplating getting the galaxy note 3 instead of the iphone 5s ","NorthAmerica"
"68",2,"cant wait to get my iphone 5s","NorthAmerica"
"69",0,"i got the iphone 5s","NorthAmerica"
"70",0,"amy is so lucky got the iphone 5s","NorthAmerica"
"71",1,"i cant wait to buy the new i phone 5s damn","Africa"
"72",1,"my brand new gold iphone 5sw h y ","NorthAmerica"
"73",0,"ima get a new phone iphone 5s or iphone 5c","NorthAmerica"
"74",1,"huffingtonpost this quick trick can vastly improve the iphones fingerprint scanner httptcomsa70rtseh this helped me out iphone5s","NorthAmerica"
"75",1,"chuckcollins11 who wants an iphone 5s what company and how much","NorthAmerica"
"76",2,"the next big thing im buying for me is the new iphone 5s","NorthAmerica"
"77",1,"my iphone 5s is having seimag","NorthAmerica"
"78",3,"my iphone 5s is having seizures i dont like it help","NorthAmerica"
"79",0,"hi vanilla busy lang busymode iphone5s text summerloverz12 college of the north atlantic qatar httptcozr7qdiuerl","Asia"
"80",-1,"however love the touch sensor on the iphone 5s lawd thank ya","NorthAmerica"
"81",2,"dude just get me a new iphone5s and spend the hole day with us overcomher thats it ","NorthAmerica"
"82",0,"whats the difference between the iphone 5s 5c","NorthAmerica"
"83",1,"got fiancee new iphone 5s holy shit thats small especially next to my note 3","NorthAmerica"
"84",5,"so its decided in my head that i want the iphone 5s of coz it has to be the gold one birthdaychristmas pressie to self","Africa"
"85",1,"should i upgrade to the iphone 5s or wait until the iphone 6 comes out ","NorthAmerica"
"86",0,"todays new arrivl knuckle case silver moonshine white iphone5 iphone5s black11 httptcoi8z9h5gbew","Asia"
"87",1,"sucks that iphone5s wont recognize fingerprints if its cold outside i hate doing the password if i paid to not do it anymore","NorthAmerica"
"88",2,"captainsamlee thats what i was thinking iphone 5s kinda like a glorified iphone 5","NorthAmerica"
"89",-2,"available now at gadget parknew iphone 5s gray w fransisca 7 others at gadget park pic httpstcojkrt7dxjqm","Australia"
"90",2,"markjhiggins just get the iphone 5s and hold it a bit closer to your face","Europe"
"91",0,"markjhiggins but its the thinnest lightest coolest fastest most imagineered iphone ever made httptcognbvq2v1ig","Europe"
"92",0,"west mall centre sfu university vancouver stairs blackandwhite iphone5s onlyiphone west mall httptcoheluwizdc7","NorthAmerica"
"93",3,"ios 701 fucking my iphone 5s up and now my dad thinks i fucking it up somehow","NorthAmerica"
"94",2,"according to mtn my iphone5s will be here either tomorrow or on wednesday next week i cant wait","Africa"
"95",2,"my mom bought my bro the new iphone 5s and get what i got yup nothing hatedchild","NorthAmerica"
"96",6,"iphone 5s rm2700 my father promised me to get me one if i get straight as but now he told me tunggu harga jatuh sikit 2500 ke damn","Asia"
"97",0,"guess whos getting the iphone 5s ","NorthAmerica"
"98",4,"tystaytweeting would anyone like to buy me an iphone 5c case if you buy me a 5s case","NorthAmerica"
"99",3,"guess this means its only meant to be that i invest in a iphone 5s ","NorthAmerica"
"100",0,"shawn is suppose to be mixing my tracksso why is this fool is looking at the new iphone 5s workin fc httptcoaggzyyqdjl","NorthAmerica"
"101",0,"all i can think of lately is the iphone 5s ","Africa"
"102",2,"my iphone 5s needs to come here now ughhh 4 days","NorthAmerica"
"103",1,"im tired i just want my beautiful iphone 5s","NorthAmerica"
"104",1,"iphone 5s you keep me from sleep so legit","NorthAmerica"
"105",3,"mitchelhemmings just call them and ask for a micro sim or nano sim if its an iphone 55c5s","Europe"
"106",1,"i needa upgrade this iphone 4 to a 5s brokebitchprobs","NorthAmerica"
"107",1,"finding an iphone 5s ","Europe"
"108",2,"finally got my iphone 5s in the mail only took forever inlove","NorthAmerica"
"109",1,"fuckibig all i want for christmas is you joke iphone 5s gusto ko landi mo","Asia"
"110",2,"aich eliasmashego orders now reigncoco notedlorendzo anyways if u like pictures get an iphone 55s not a samsung","Africa"
"111",0,"i got the gold iphone 5s cause im faaabuloussss","NorthAmerica"
"112",1,"happiest person alive right nowpackage iphone5s","Europe"
"113",1,"i love lornadaisleyy more than i love my iphone5s ","Europe"
"114",-1,"iphone 5s 100 tesla model s charged 483km if id slept a little better everything would have been fully charged httptcoacn4js0gi2","Europe"
"115",1,"aaand its here iphone 5s champagne apple monow imed software solutions httptcohkdjzgii0o","Asia"
"116",0,"iphone 5s is love ","NULL"
"117",0,"new iphone 5s being delivered today boomting","Europe"
"118",1,"for sale brand new still in box white and gold iphone 5s 16g on ee httptcodhb1kde5zh","Europe"
"119",1,"iphone 5s virgin shot as are over sort of took me awhile to get this shot was thinking whether httptcoe7wfeamix2","NULL"
"120",0,"erfarahani hahaaaa takk workhard sngat laa if i get iphone 5s free i will give 4s to you hahaa ","NULL"
"121",1,"whats a good site to order iphone 5s cases from","Africa"
"122",2,"the iphone 5c is making me hungry love the weight of the device and its arguably more comfortable to hold than the iphone 5s","Asia"
"123",0,"applenws rt iphoneinformers logitech powershell controller battery arrives for iphone 5s httptcod9g3vbcixu could be fun","Australia"
"124",1," welcome to my world iphone 5s dubai international airport dxb httptcopdvmtufvxe","Asia"
"125",1,"thank you mum omg i cant believe this thank you for this iphone 5s gold httptco8iiypxuaqc","NULL"
"126",2,"iphone5s apple russia perm like life nice swag mobile like gold swagger swagga follow httptcov3vopijvmf","Asia"
"127",2,"loving my new iphone5s but wish vodafoneuk would get on and activate the sim use immediately my a","Europe"
"128",1,"cancel iphone 5s order and save 430 and buy a 200 brand iphone 5 haha hmm","Europe"
"129",-1,"is everyone out of the iphone5s in dubai cant find the 32gb anywhere","Asia"
"130",0,"ios704 iphone 5s crash every few mins","Asia"
"131",1,"taken an edit by iphone 5s qayrawan area httptcoo01rhq8jwk","Asia"
"132",1,"white iphone 5s want it 64 gb model httptco0aomo24qpi","NULL"
"133",1,"my iphone 5s is driving me mad its on a rollercoasterride changes opens apps at random on the second is this a virus or a setting","Africa"
"134",1,"fingerprint security of iphone5s is cool and amazing","Asia"
"135",3,"my oh my after 2 days of playing with the iphone5s im in love i gotta get one","Africa"
"136",-1,"im inlove with iphone 5s","Asia"
"137",-1,"a triple mocha dark chocolate ugg boot berry white iphone 5s caramel infinity sign frappe please whitegirl alexxbolhous connorredmond4","NorthAmerica"
"138",1,"good morning sunrise clouds cloudporn tooearly beautiful roctopshots iphone5s backyard of httptcoridcpbhkji","NorthAmerica"
"139",-2,"nine inch nails rocker trent reznor pulls out iphone 5s on stage to facetime with dying friend httptcogyj8eipq2n howardstern","NorthAmerica"
"140",-2,"iphone 5s running ios 704totally fucking broken in fact ill be amazed if this tweet gets pu","Europe"
"141",0,"iphone 5s tonight ","Europe"
"142",2,"giffgaff hi do you do the nano sims for the iphone 5s if so how can i order one thanks","Europe"
"143",1,"apple shop in towns a joke so much messing about for a iphone 5s on pay as you go ffs","Europe"
"144",2,"isaudiairlines hhahahaha who said that i do love u now where is my i phone 5s ","Asia"
"145",1,"i have to do it newphone iphone5s httptco7ax36ob5g7","Europe"
"146",1,"its raining outside arent they laag offtowork perksofaphotographer iphone5s dubai mall httptcobber85wtac","Asia"
"147",0,"newiphone7 i want the power of the iphone 5 or 5s with the colour green of the 5c","NorthAmerica"
"148",3,"looking for the new iphone 5s or the newest android device the nexus 5 come on out to target mobile and see me httptcoz7fjzv1ffz","NorthAmerica"
"149",0,"iphone 5s is becoming a common sight","Australia"
"150",1,"benjamingdsn thats nice but have you received an email regarding free iphone 5s from our phone provider","Europe"
"151",0,"unedited iphone 5s photo atlantic ocean httptcob0nnotigpg","NorthAmerica"
"152",2,"now using an iphone 5s its too beautiful","Europe"
"153",1," i really want an iphone 5s","NorthAmerica"
"154",2,"i could have got another iphone 5s for free today after the lady at the vodafoneuk store failed to set it up good thing im honest","Europe"
"155",3,"im trying to er my iphone 5s right now right now","NorthAmerica"
"156",4,"im trying to get my iphone 5s right now right now right now","NorthAmerica"
"157",2,"yasiira1d she will hey hey guess who got her iphone 5s woohoo but i couldnt get the gold one so i got it in silver","NorthAmerica"
"158",0,"the finger print scanning thing on the iphone 5s is fucking shit","Europe"
"159",0,"i havent even had the iphone 5s for two weeks and ive already lost the charger typical","NorthAmerica"
"160",1,"ahhh iphone 5s or xbox one ahhhhh","NorthAmerica"
"161",0,"getting this new iphone 5s case aint nobody in the ville touching","NorthAmerica"
"162",2,"1 thing idk if i like about the iphone 5s the damn headphone jack is at the bottom idk if i like that ","NorthAmerica"
"163",3,"also would like everyone to know that i got a new iphone 5s for free ","NorthAmerica"
"164",2,"jackgyarwood could be like omg is that the new iphone 5s with ios 7 me too naahhhhh","Europe"
"165",2,"my iphone is so messed up cant wait to get the 5s for christmas thank god","NorthAmerica"
"166",-3,"with all the ipads and the ipod touch in line with their unified hardware designs the iphone 5s hardware design seems almostoutdated","NorthAmerica"
"167",0,"upgrading phone iphone5s","SouthAmerica"
"168",1,"i just got my iphone 5s","Europe"
"169",0,"at a benaulim beach this evening hdr image from my iphone 5s the camera is pretty impressive httptcoyhsq0pmm9g","Asia"
"170",0,"what a waste of timert moswear niggas chasing iphone 5s","Africa"
"171",3,"disappointed that the iphone 5s camera has no selftimer feature even my nokia n8 had it very useful for taking pictures with me in them","Asia"
"172",2,"coleykleanthous swear the last one i seen included gold iphone5s fiat 500mini thats a good couple of grand there ","Europe"
"173",1,"tmobilehelp i was using the service in an iphone 5s two weeks ago yep","NorthAmerica"
"174",0,"i want an iphone 5s so bad","NorthAmerica"
"175",1,"yellastackss fuck this i want my iphone back i want a 5s","NorthAmerica"
"176",0,"should i get the gold and white iphone 5s or the sliver and white","NorthAmerica"
"177",-2,"special fries french fries belgian fries waffle fries at hobs away by the iphone 5s recommended httptco8qb2hkdjlh","Asia"
"178",0,"iphone 5s is here","Europe"
"179",1,"i need me a iphone 5s ","NorthAmerica"
"180",1,"quizclothing our iphone gold 5s competition closes on the 1st december just follow and rt this tweet for a chance to win the phone","Europe"
"181",3,"dante loves me so much hes getting me an iphone 5s ","NorthAmerica"
"182",1,"whichever has better filters on insta rt huiyanyoyo helpppp note 3 or iphone5s","NULL"
"183",0,"team iphone 5s legitassphone finally","NorthAmerica"
"184",5,"jamesfout35 yeah are u wanting to do a upgrade to get a iphone 5swe just cant give u cash for it like it has to go towards another phone","NorthAmerica"
"185",0,"wish i had to iphone 5s httptcoeyhwly3kil","Europe"
"186",1,"i want the iphone 5s in gold i need it ","NorthAmerica"
"187",0,"the iphone 5s ","NorthAmerica"
"188",0,"wish i had the iphone 5s httptcobzzcuzg51f","Europe"
"189",1,"im again with u happy me with new iphone 5s mounth without instagram strong me httptcoi3adka1h7z","Asia"
"190",1,"this is the first time i see a person with the iphone 5c looks great but i still wouldnt buy it would save up for the iphone 5s","NorthAmerica"
"191",0,"i want the iphone 5s d","NorthAmerica"
"192",1,"im on iphone 5s bitches me jel ","Europe"
"193",0,"on iphone 5s be jel bitches","Europe"
"194",1,"i love my new iphone 5s so fast","Europe"
"195",0,"livs new iphone 5s httptcoj9uhm0gdhu","NorthAmerica"
"196",4,"so threeuk send me a text about a special deal to upgrade my phone to an iphone 5s for 350 yeah no thanks","Europe"
"197",0,"iphone 5s is besteld ","Europe"
"198",1,"xkaylaa i dont want the 5s once you scratch your home button you out your phone forever no","NorthAmerica"
"199",0,"i should have gotten the iphone 5s instead of this ","NorthAmerica"
"200",1,"he wants to buy me iphone 5s","NULL"
"201",-1,"anyone interested in a sprint iphone 5s space grey 64gb","NorthAmerica"
"202",2,"my 5s comes in today bye bye iphone 5","NorthAmerica"
"203",2,"i have bandaids on my thumbs so i cant use those fingerprints to unlock my iphone 5s firstworldproblems","NorthAmerica"
"204",-1,"so today i tested the iphone 5s slomo video turns out great the merlion httptcozlbepaltk9","NULL"
"205",1,"who has a black iphone5 or a black iphone5s verizon that wants to trade to a white iphone5 verizon will throw in boot","NorthAmerica"
"206",1,"i need to get the 5s i feel like my phone is hella out dated","NorthAmerica"
"207",-1,"i want the iphone 5s gold so bad","NorthAmerica"
"208",2,"cant believe i just gave kevin 100 to get an iphone 5s on contract and heres me with an iphone 4 meh damn you christmas","Europe"
"209",3,"i cant wait till i get the iphone 5s only have to wait till january","NorthAmerica"
"210",-2,"im pretty excited about these larger screen iphone rumors glad i held out on getting the 5s this year","NorthAmerica"
"211",0,"littlesashadoe miriamdoooe i should have gotten the iphone 5s instead of this teamiphonefuck your fake iphone friend","NorthAmerica"
"212",2,"so i got the iphone 5s believe or not and i must say its awesome better than my iphone 4s","NorthAmerica"
"213",2,"ive got the phone 5s and it shows like this httptcoo1pfecfbju","Europe"
"214",0,"what i just barely bought a 5s iphoneteam apple is now testing a 49inch iphone 6 and a iphone 5c successor","NorthAmerica"
"215",1,"who wants an iphone 5s life proof included","NorthAmerica"
"216",-1,"what else can iphone 5s do apart from finger print scan shit","Europe"
"217",1,"gaadi participate now in our blogyourdrive contest with your car story httptcoe04pdvelgz win an apple iphone 5s","Asia"
"218",1,"iphone 5s apple store west 14th street w 2 others httptcokehxuhr43h","NorthAmerica"
"219",-1,"new twitter lay out is much better and seem to have fixed all glitches since os7 and iphone 5s launch","Europe"
"220",1,"buyin my moms a new phone for christmas but i wanna get her something different maybe an ipad or a 5s idk man","NorthAmerica"
"221",2,"buy for me iphone 5s httptcoelictcvipv","Asia"
"222",1,"i want an iphone 5s","NorthAmerica"
"223",0,"having owned every iphone i must say im not very impressed by the 5s touchid barely works siri takes 3x longer maps are the worst yet","NorthAmerica"
"224",0,"wow awesome iphone 5s httptcolyddsbgc4i","NorthAmerica"
"225",1,"just bought a new phone contract with a whitegold iphone 5s eek cannot wait to pick it up merryxmastome","Europe"
"226",2,"my dad got me the iphone 5s ","Europe"
"227",2,"major bug in ios7 iphone5s bluescreen appears and phone restarts were unlikely for an iphone apple modmyi bug","Asia"
"228",1,"i got the iphone 5s theme for the galaxy s4 sick","NorthAmerica"
"229",-1,"dad came home with a free iphone 5s lucky shit","Europe"
"230",-1,"having a family discussion about who gets the iphone 5s","Europe"
"231",0,"maxkramer no idea headphone jack on the iphone5s isnt great","Europe"
"232",1,"iphone 5s making ugly people attractive since november 1 2013","NorthAmerica"
"233",-1,"mom already dropped and cracked her iphone 5s thingsthatpissmeoff","NorthAmerica"
"234",3,"right so ive to choose between an iphone 4s 5s or 5c someone help me","Europe"
"235",4,"ordered an iphone 5s cant wait for it to get delivered ","Europe"
"236",1,"its a thing of beauty inlove iphone5s gold httptcozl5anhujwt","Europe"
"237",0,"just got a sick phone case iphone5s lifeproof","NorthAmerica"
"238",0,"just got the rawest phone case iphone5s lifeproof","NorthAmerica"
"239",1,"an iphone 5s would be pleasant","NorthAmerica"
"240",1,"iphone 5s or galaxy s4 and a free tab 3 tablet confusedwhatoget","NorthAmerica"
"241",1,"i love this new ios7 iphone 5s enhanced twitter version its super sexy to the curb shite","Africa"
"242",1,"iphone 5s in gold 3 home httptcozvl39afgid","Europe"
"243",1,"iphone 5s for christmas please ","Europe"
"244",0,"first tweet from the iphone 5s is dedicated to harrystyles cos why not","Europe"
"245",1,"i love my iphone 5s ","NorthAmerica"
"246",0,"ohh hy iphone5s httptcolo0uookixf","Europe"
"247",-1,"soooooo my iphone 5s does slow mo video expect to see a slow motion poo video coming on her soon slowmopoo","Europe"
"248",2,"might get an iphone 5s for christmas yeee","NorthAmerica"
"249",4,"im not saying that my new iphone 5s isnt nifty but i cant get over the white front on it its just not natural","Europe"
"250",0,"which iphone should i get 5s or 5c","NorthAmerica"
"251",0,"ijustine what do you think is in here httptcowi9tw8jyaw gold iphone 5s","NorthAmerica"
"252",1,"i love my new phone iphone5s ","Europe"
"253",3,"getting an iphone 5s paying off my holiday getting paid and booking in my next tattoo ","Europe"
"254",5,"the damn mail is taking forever to come i want my iphone 5s in my hands like right now","NorthAmerica"
"255",-1,"ever since the 5c the 5s came out everybody got a iphone ","NorthAmerica"
"256",0,"iphone5s shopping apple store fifth avenue w nicoledibbets pic httptcota6yx3faeo","NorthAmerica"
"257",0,"marina waves timelapse camera iphone 5s south surra httptcofc2vssf0q4","Asia"
"258",1,"yeah i went there a gold iphone 5s as a test device dontjudgeme iosdev peets coffee tea httptcophodipn4ly","NorthAmerica"
"259",-1,"btw touch id on the iphone 5s is amazing","NorthAmerica"
"260",-1,"i want the iphone 5s soooo bad ","NorthAmerica"
"261",-2,"roofs in rome taken with iphone 5s edited with filtermaniafilterstorm neuesnapseed apps tag httptcoipp925dc0v","Europe"
"262",0,"ive grown to love the gold iphone 5s","NorthAmerica"
"263",1,"mum got an iphone 5s today she can suck her mum the bitch","Europe"
"264",0,"clouds are painting the sky today nyc realtime iphone5s west side rail yards lirr httptcogtrcotckqn","NorthAmerica"
"265",1,"my hands are to small for the iphone 5s annoying","Europe"
"266",2,"i am getting the play by play on the iphone 5s by kimskey","NorthAmerica"
"267",0,"yar pirates panomovie iphone5s pirates cove httptcoblm1w2mnk6","NorthAmerica"
"268",0,"i hate my phone gonna go buy a 5s brb","NorthAmerica"
"269",1,"on that iphone5s grind c ","NorthAmerica"
"270",0,"spunkinator1337 coachdrivertim i have the iphone 5sposh ","Europe"
"271",0,"proletariat think you need a iphone 5s samsungstink","NorthAmerica"
"272",4,"is it excessive if i have an ipod nano 2 ipod touches an ipad an iphone 4s and i buy the iphone 5s ","NorthAmerica"
"273",1,"new phone iphone5s yummy its sooo nice","Europe"
"274",1,"my iphone5s is not charging connection problem iphoneproblems","Europe"
"275",1,"does anybody know how to jailbreak an iphone 5s","NorthAmerica"
"276",0,"bossluxuryceo 24kt gold iphone 5s anyone ready to be shipped to the usa httptcoxaz4lxbbna httptcobmsjokzpsk tobytaggy","Europe"
"277",0,"15tristan you got the iphone 5s","NorthAmerica"
"278",3,"just bought the new iphone 5s and its exactly the same as my iphone 4s ","Europe"
"279",0,"what colour iphone 5s should i get","Europe"
"280",1,"tweet tweet from my new iphone 5s gold duh ","NorthAmerica"
"281",0,"tbhtechnology gold iphone5s httptcoizgkbsnt15 want ","NorthAmerica"
"282",3,"new iphone 5s for me oro finalmente apple forever instagram instamoment love my cell httptcog1qp63g6si","Europe"
"283",1,"all i want for christmaslife is the iphone5s","Europe"
"284",0,"is the iphone 5s or 5c better though ","NorthAmerica"
"285",0,"we about to imessage and facetime so much now that she got her phone im salty she getting the 5s though","NorthAmerica"
"286",2,"why would spend all your money just to get a iphone 5s","NorthAmerica"
"287",3,"iphoneteam for 5000 one company will now plate your iphone 5s in actual 24 karat gold httptcoyat6at3wlx stanmonn","Europe"
"288",0,"just discovered that camera flash and af of the new iphone 5s are amazing in the dark impressive","Europe"
"289",1,"cuntrols christmas wish listtaco bell or starbucks gift cardiphone 5slots of drugsyour virginityxbox one ","NorthAmerica"
"290",1,"i shoulda kept that iphone 5s gold looked sexy oh well should get it within the next month","Europe"
"291",0,"ordered the iphone 5s ","NorthAmerica"
"292",-2,"sad face hate when i got to leave t mobile smh iphone5s","NorthAmerica"
"293",0,"powermaccenter what is model of iphone5s","Asia"
"294",1,"yayyy iphone5s for christmas ","NorthAmerica"
"295",-1,"iphone 5s at claroblog httptcoieodd1kpfy","SouthAmerica"
"296",0,"new iphone 5s added to apple familysisters earlyy thanksgiving giftiphone5s gold24kt lol httptconftxnsjp8h","NorthAmerica"
"297",0,"imma get the iphone 5s soon","NorthAmerica"
"298",0,"arielsimmonsg man i hate how the stores have iphone44s cases everywhere but none for the iphone 55s","NorthAmerica"
"299",0,"coleleoburge from what ive heard the iphone 5s is actually decent on batery life","NorthAmerica"
"300",0,"a little piece of me is regretting the black iphone 5s ","NorthAmerica"
"301",0,"sorry iphone5s im all note3 now","NorthAmerica"
"302",1,"need someone to buy my iphone 5s","NorthAmerica"
"303",1,"just bought my iphone 5s should be here next week ","NorthAmerica"
"304",1,"i cant wait to get iphone 5s im sick of this cracked screen","NorthAmerica"
"305",1,"there was this phase when everyone was getting an s3 this time everyone i know is getting the iphone 5c5s","Asia"
"306",1,"vivalacaitybaby should i get the iphone 5s yes its perfect","NorthAmerica"
"307",1,"daynasgotswag did you get your iphone5s","NorthAmerica"
"308",2,"to get an iphone 5s or an iphone 5c i think i choose to get a blue iphone 5c ","NorthAmerica"
"309",-1,"joaaner lololl really okok ill just get a iphone 5s hhaha","NorthAmerica"
"310",0,"hell yeah team gold iphone 5s bitchessss","NorthAmerica"
"311",0,"iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig igaddict httptcodwfeshhsmz","NorthAmerica"
"312",0,"getting a iphone 5s soon ","NorthAmerica"
"313",0,"putting no excuses 007 on the iphone 5s","NorthAmerica"
"314",0,"you looked iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig httptcoiybm2snei8","NorthAmerica"
"315",1,"iphone 5s but its not mine iphone5s apple macintosh tram stop 14 glenelg east httptcoijsktzucdl","Australia"
"316",0,"tgif happy friday everyone tgif happyfriday oldskull loafer photo by iphone5s maersk line httptcogsvhkjd0ue","Asia"
"317",1,"charlottehyde2 just referred to our phones black and white iphone 5s as interracial twins whatisherlife","Europe"
"318",0,"finally got the iphone 5s","NorthAmerica"
"319",0,"tbt iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig igaddict httptcocepfeygbf9","NorthAmerica"
"320",0,"djeone iphoneography iphonesia photooftheday iphone5iphoneonly jj iphone5sinstagood ig httptcooyksoftkb3","NorthAmerica"
"321",1,"jrich22 get one the blue is actually an ipod i was just messing around haha i have the iphone 5s","NorthAmerica"
"322",0,"moehasanin gold iphone 5s or black yo gold","NorthAmerica"
"323",1,"laraowens not worth the upgrade from nokia 3210 to the iphone 5s bo","Europe"
"324",-1,"i want to get the iphone 5s so bad","NorthAmerica"
"325",2,"to sell my iphone 5 and buy the 5s or not decisionsdecisions ","NorthAmerica"
"326",1,"to get the iphone 5s tomorrow or not to get it hmm","NorthAmerica"
"327",2,"tryna decide is it worth it buying the iphone 5s","NorthAmerica"
"328",0,"iphone 5s this week maybee","NorthAmerica"
"329",0,"i need the iphone 5s asap ","NorthAmerica"
"330",0," going go by him a iphone5s","NorthAmerica"
